"Step","sgd - deltas.deltas.stage_3.4.conv_a"
"92","{""_type"":""histogram"",""values"":[1,0,0,0,1,1,0,0,0,0,0,1,2,0,0,1,1,0,0,1,1,2,3,1,1,0,0,2,4,1,3,5,6,2,5,3,0,4,1,1,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.027422044426202774,0.036098412645515054,0.044774780864827335,0.053451149084139615,0.062127517303451896,0.07080388552276418,0.07948025374207646,0.08815662196138874,0.09683299018070102,0.1055093584000133,0.11418572661932558,0.12286209483863786,0.13153846305795014,0.14021483127726242,0.1488911994965747,0.15756756771588698,0.16624393593519926,0.17492030415451154,0.18359667237382382,0.1922730405931361,0.20094940881244838,0.20962577703176066,0.21830214525107294,0.22697851347038522,0.2356548816896975,0.24433124990900978,0.25300761812832206,0.26168398634763435,0.2703603545669466,0.2790367227862589,0.2877130910055712,0.29638945922488347,0.30506582744419575,0.31374219566350803,0.3224185638828203,0.3310949321021326,0.33977130032144487,0.34844766854075715,0.35712403676006943,0.3658004049793817,0.374476773198694,0.38315314141800627,0.39182950963731855,0.40050587785663083,0.4091822460759431,0.4178586142952554,0.4265349825145677,0.43521135073387995,0.44388771895319223,0.4525640871725045,0.4612404553918168,0.4699168236111291,0.47859319183044136,0.48726956004975364,0.4959459282690659,0.5046222964883782,0.5132986647076905,0.5219750329270028,0.530651401146315,0.5393277693656273,0.5480041375849396,0.5566805058042519,0.5653568740235642,0.5740332422428764,0.5827096104621887]}"
"93","{""values"":[1,0,0,2,0,0,0,0,0,0,2,0,0,2,0,0,1,2,3,1,1,2,2,2,5,2,6,1,3,4,1,3,2,4,2,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.021931497380137444,0.032136882218765095,0.042342267057392746,0.0525476518960204,0.06275303673464805,0.0729584215732757,0.08316380641190335,0.093369191250531,0.10357457608915865,0.1137799609277863,0.12398534576641396,0.1341907306050416,0.14439611544366926,0.1546015002822969,0.16480688512092456,0.1750122699595522,0.18521765479817986,0.19542303963680752,0.20562842447543517,0.21583380931406282,0.22603919415269047,0.23624457899131812,0.24644996382994577,0.2566553486685734,0.2668607335072011,0.2770661183458287,0.2872715031844564,0.29747688802308403,0.3076822728617117,0.31788765770033933,0.328093042538967,0.33829842737759463,0.3485038122162223,0.35870919705484994,0.3689145818934776,0.37911996673210524,0.3893253515707329,0.39953073640936054,0.4097361212479882,0.41994150608661585,0.4301468909252435,0.44035227576387115,0.4505576606024988,0.46076304544112645,0.4709684302797541,0.48117381511838175,0.4913791999570094,0.5015845847956371,0.5117899696342647,0.5219953544728924,0.53220073931152,0.5424061241501477,0.5526115089887753,0.562816893827403,0.5730222786660306,0.5832276635046583,0.5934330483432859,0.6036384331819136,0.6138438180205412,0.6240492028591689,0.6342545876977965,0.6444599725364242,0.6546653573750518,0.6648707422136795,0.6750761270523071]}"
"94","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,2,2,2,2,1,6,0,1,2,2,5,1,0,2,1,3,3,1,3,3,2,1,2,1,2,0,1,0,0,0,1,0,1,0,0,1,0,1,1],""bins"":[0.02614865079522133,0.03363266069209203,0.041116670588962734,0.048600680485833436,0.05608469038270414,0.06356870027957484,0.07105271017644554,0.07853672007331625,0.08602072997018695,0.09350473986705765,0.10098874976392835,0.10847275966079906,0.11595676955766976,0.12344077945454046,0.13092478935141116,0.13840879924828187,0.14589280914515257,0.15337681904202327,0.16086082893889397,0.16834483883576468,0.17582884873263538,0.18331285862950608,0.19079686852637678,0.1982808784232475,0.2057648883201182,0.2132488982169889,0.2207329081138596,0.2282169180107303,0.235700927907601,0.2431849378044717,0.2506689477013424,0.2581529575982131,0.2656369674950838,0.2731209773919545,0.2806049872888252,0.2880889971856959,0.2955730070825666,0.3030570169794373,0.310541026876308,0.3180250367731787,0.32550904667004943,0.33299305656692013,0.34047706646379083,0.34796107636066154,0.35544508625753224,0.36292909615440294,0.37041310605127364,0.37789711594814435,0.38538112584501505,0.39286513574188575,0.40034914563875645,0.40783315553562716,0.41531716543249786,0.42280117532936856,0.43028518522623926,0.43776919512310997,0.44525320501998067,0.45273721491685137,0.4602212248137221,0.4677052347105928,0.4751892446074635,0.4826732545043342,0.4901572644012049,0.4976412742980756,0.5051252841949463]}"
"95","{""_type"":""histogram"",""values"":[1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,1,0,2,0,1,4,1,0,4,1,2,1,3,2,2,6,1,2,4,0,3,3,2,1,2,1,1,1,2,0,1,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,1],""bins"":[0.023055223748087883,0.03191557482932694,0.040775925910566,0.04963627699180506,0.05849662807304412,0.06735697915428318,0.07621733023552224,0.0850776813167613,0.09393803239800036,0.10279838347923942,0.11165873456047848,0.12051908564171754,0.1293794367229566,0.13823978780419566,0.14710013888543472,0.15596048996667378,0.16482084104791284,0.1736811921291519,0.18254154321039096,0.19140189429163001,0.20026224537286907,0.20912259645410813,0.2179829475353472,0.22684329861658625,0.2357036496978253,0.24456400077906437,0.25342435186030343,0.2622847029415425,0.27114505402278155,0.2800054051040206,0.28886575618525967,0.29772610726649873,0.3065864583477378,0.31544680942897685,0.3243071605102159,0.33316751159145497,0.342027862672694,0.3508882137539331,0.35974856483517215,0.3686089159164112,0.37746926699765027,0.3863296180788893,0.3951899691601284,0.40405032024136744,0.4129106713226065,0.42177102240384556,0.4306313734850846,0.4394917245663237,0.44835207564756274,0.4572124267288018,0.46607277781004086,0.4749331288912799,0.483793479972519,0.49265383105375804,0.5015141821349971,0.5103745332162362,0.5192348842974752,0.5280952353787143,0.5369555864599533,0.5458159375411924,0.5546762886224315,0.5635366397036705,0.5723969907849096,0.5812573418661486,0.5901176929473877]}"
"96","{""values"":[1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,2,0,1,1,1,3,1,2,3,2,1,3,1,2,2,5,2,3,1,2,0,2,0,1,2,3,2,2,0,0,3,2,0,0,0,1,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.03322790563106537,0.040701617719605565,0.04817532980814576,0.05564904189668596,0.06312275398522615,0.07059646607376635,0.07807017816230655,0.08554389025084674,0.09301760233938694,0.10049131442792714,0.10796502651646733,0.11543873860500753,0.12291245069354773,0.13038616278208792,0.13785987487062812,0.14533358695916831,0.1528072990477085,0.1602810111362487,0.1677547232247889,0.1752284353133291,0.1827021474018693,0.1901758594904095,0.1976495715789497,0.2051232836674899,0.21259699575603008,0.22007070784457028,0.22754441993311048,0.23501813202165067,0.24249184411019087,0.24996555619873106,0.25743926828727126,0.26491298037581146,0.27238669246435165,0.27986040455289185,0.28733411664143205,0.29480782872997224,0.30228154081851244,0.30975525290705264,0.31722896499559283,0.32470267708413303,0.3321763891726732,0.3396501012612134,0.3471238133497536,0.3545975254382938,0.362071237526834,0.3695449496153742,0.3770186617039144,0.3844923737924546,0.3919660858809948,0.399439797969535,0.4069135100580752,0.4143872221466154,0.4218609342351556,0.4293346463236958,0.436808358412236,0.44428207050077617,0.45175578258931637,0.45922949467785656,0.46670320676639676,0.47417691885493696,0.48165063094347715,0.48912434303201735,0.49659805512055755,0.5040717672090977,0.5115454792976379]}"
"97","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,2,2,0,0,1,0,1,0,3,3,2,1,2,6,5,5,2,3,0,4,1,1,3,1,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,1,0,0,2],""bins"":[0.028933575376868248,0.03674712139763869,0.04456066741840914,0.052374213439179584,0.06018775945995003,0.06800130548072048,0.07581485150149092,0.08362839752226137,0.09144194354303181,0.09925548956380226,0.1070690355845727,0.11488258160534315,0.1226961276261136,0.13050967364688404,0.13832321966765448,0.14613676568842493,0.15395031170919538,0.16176385772996582,0.16957740375073627,0.1773909497715067,0.18520449579227716,0.1930180418130476,0.20083158783381805,0.2086451338545885,0.21645867987535894,0.22427222589612938,0.23208577191689983,0.23989931793767028,0.24771286395844072,0.25552640997921117,0.2633399559999816,0.27115350202075206,0.2789670480415225,0.28678059406229295,0.2945941400830634,0.30240768610383384,0.3102212321246043,0.31803477814537473,0.3258483241661452,0.3336618701869156,0.34147541620768607,0.3492889622284565,0.35710250824922696,0.3649160542699974,0.37272960029076785,0.3805431463115383,0.38835669233230874,0.3961702383530792,0.40398378437384963,0.4117973303946201,0.4196108764153905,0.42742442243616097,0.4352379684569314,0.44305151447770186,0.4508650604984723,0.45867860651924275,0.4664921525400132,0.47430569856078364,0.4821192445815541,0.48993279060232453,0.497746336623095,0.5055598826438654,0.5133734286646359,0.5211869746854063,0.5290005207061768]}"
"98","{""values"":[1,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,2,0,3,5,3,2,1,3,3,2,6,2,6,1,4,1,0,0,2,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.021943921223282814,0.033100618136813864,0.044257315050344914,0.055414011963875964,0.06657070887740701,0.07772740579093806,0.08888410270446911,0.10004079961800016,0.11119749653153121,0.12235419344506226,0.13351089035859331,0.14466758727212436,0.15582428418565542,0.16698098109918647,0.17813767801271752,0.18929437492624857,0.20045107183977962,0.21160776875331067,0.22276446566684172,0.23392116258037277,0.24507785949390382,0.25623455640743487,0.2673912533209659,0.27854795023449697,0.289704647148028,0.30086134406155907,0.3120180409750901,0.32317473788862117,0.3343314348021522,0.34548813171568327,0.3566448286292143,0.36780152554274537,0.3789582224562764,0.39011491936980747,0.4012716162833385,0.41242831319686957,0.4235850101104006,0.43474170702393167,0.4458984039374627,0.45705510085099377,0.4682117977645248,0.47936849467805587,0.4905251915915869,0.501681888505118,0.512838585418649,0.5239952823321801,0.5351519792457111,0.5463086761592422,0.5574653730727732,0.5686220699863043,0.5797787668998353,0.5909354638133664,0.6020921607268974,0.6132488576404285,0.6244055545539595,0.6355622514674906,0.6467189483810216,0.6578756452945527,0.6690323422080837,0.6801890391216148,0.6913457360351458,0.7025024329486769,0.7136591298622079,0.724815826775739,0.73597252368927]}"
"99","{""_type"":""histogram"",""values"":[1,0,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0,1,1,0,0,3,3,2,3,0,5,3,0,3,4,2,2,0,2,3,1,2,1,3,3,1,2,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1],""bins"":[0.03124857321381569,0.0401487480266951,0.049048922839574516,0.05794909765245393,0.06684927246533334,0.07574944727821276,0.08464962209109217,0.09354979690397158,0.102449971716851,0.11135014652973041,0.12025032134260982,0.12915049615548924,0.13805067096836865,0.14695084578124806,0.15585102059412748,0.1647511954070069,0.1736513702198863,0.18255154503276572,0.19145171984564513,0.20035189465852454,0.20925206947140396,0.21815224428428337,0.22705241909716278,0.2359525939100422,0.2448527687229216,0.253752943535801,0.26265311834868044,0.27155329316155985,0.28045346797443926,0.2893536427873187,0.2982538176001981,0.3071539924130775,0.3160541672259569,0.32495434203883633,0.33385451685171574,0.34275469166459516,0.35165486647747457,0.360555041290354,0.3694552161032334,0.3783553909161128,0.3872555657289922,0.39615574054187164,0.40505591535475105,0.41395609016763046,0.4228562649805099,0.4317564397933893,0.4406566146062687,0.4495567894191481,0.45845696423202753,0.46735713904490694,0.47625731385778636,0.48515748867066577,0.4940576634835452,0.5029578382964246,0.511858013109304,0.5207581879221834,0.5296583627350628,0.5385585375479423,0.5474587123608217,0.5563588871737011,0.5652590619865805,0.5741592367994599,0.5830594116123393,0.5919595864252187,0.6008597612380981]}"
"100","{""_type"":""histogram"",""values"":[1,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,3,2,3,3,3,3,6,3,3,2,3,4,1,3,1,0,1,0,3,0,3,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1],""bins"":[0.01227112952619791,0.016165354390977882,0.020059579255757853,0.023953804120537825,0.027848028985317796,0.03174225385009777,0.03563647871487774,0.03953070357965771,0.04342492844443768,0.047319153309217654,0.051213378173997626,0.0551076030387776,0.05900182790355757,0.06289605276833754,0.06679027763311751,0.07068450249789748,0.07457872736267745,0.07847295222745743,0.0823671770922374,0.08626140195701737,0.09015562682179734,0.09404985168657731,0.09794407655135728,0.10183830141613726,0.10573252628091723,0.1096267511456972,0.11352097601047717,0.11741520087525714,0.12130942574003711,0.12520365060481708,0.12909787546959706,0.13299210033437703,0.136886325199157,0.14078055006393697,0.14467477492871694,0.14856899979349691,0.15246322465827689,0.15635744952305686,0.16025167438783683,0.1641458992526168,0.16804012411739677,0.17193434898217674,0.17582857384695671,0.1797227987117367,0.18361702357651666,0.18751124844129663,0.1914054733060766,0.19529969817085657,0.19919392303563654,0.20308814790041652,0.2069823727651965,0.21087659762997646,0.21477082249475643,0.2186650473595364,0.22255927222431637,0.22645349708909635,0.23034772195387632,0.2342419468186563,0.23813617168343626,0.24203039654821623,0.2459246214129962,0.24981884627777617,0.25371307114255615,0.2576072960073361,0.2615015208721161]}"
"101","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,2,5,6,3,4,2,3,0,2,3,0,4,2,3,2,0,2,1,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1],""bins"":[0.0024064837489277124,0.0030602670994994696,0.003714050450071227,0.004367833800642984,0.005021617151214741,0.005675400501786498,0.0063291838523582555,0.006982967202930013,0.00763675055350177,0.008290533904073527,0.008944317254645284,0.009598100605217041,0.010251883955788799,0.010905667306360556,0.011559450656932313,0.01221323400750407,0.012867017358075827,0.013520800708647585,0.014174584059219342,0.014828367409791099,0.015482150760362856,0.016135934110934613,0.01678971746150637,0.017443500812078128,0.018097284162649885,0.018751067513221642,0.0194048508637934,0.020058634214365156,0.020712417564936914,0.02136620091550867,0.022019984266080428,0.022673767616652185,0.023327550967223942,0.0239813343177957,0.024635117668367457,0.025288901018939214,0.02594268436951097,0.026596467720082728,0.027250251070654485,0.027904034421226243,0.028557817771798,0.029211601122369757,0.029865384472941514,0.03051916782351327,0.03117295117408503,0.031826734524656786,0.03248051787522854,0.0331343012258003,0.03378808457637206,0.034441867926943814,0.03509565127751557,0.03574943462808733,0.036403217978659086,0.03705700132923084,0.0377107846798026,0.03836456803037436,0.039018351380946115,0.03967213473151787,0.04032591808208963,0.040979701432661386,0.04163348478323314,0.0422872681338049,0.04294105148437666,0.043594834834948415,0.04424861818552017]}"
"102","{""values"":[1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,2,1,1,0,2,4,2,7,5,2,6,3,2,4,4,1,1,0,2,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[0.0026081621181219816,0.003434265836403938,0.004260369554685894,0.005086473272967851,0.005912576991249807,0.006738680709531764,0.00756478442781372,0.008390888146095676,0.009216991864377633,0.010043095582659589,0.010869199300941546,0.011695303019223502,0.012521406737505458,0.013347510455787415,0.014173614174069371,0.014999717892351327,0.015825821610633284,0.01665192532891524,0.017478029047197197,0.018304132765479153,0.01913023648376111,0.019956340202043066,0.020782443920325022,0.02160854763860698,0.022434651356888935,0.02326075507517089,0.024086858793452848,0.024912962511734804,0.02573906623001676,0.026565169948298717,0.027391273666580673,0.02821737738486263,0.029043481103144586,0.029869584821426542,0.0306956885397085,0.031521792257990455,0.03234789597627241,0.03317399969455437,0.034000103412836324,0.03482620713111828,0.03565231084940024,0.036478414567682194,0.03730451828596415,0.038130622004246106,0.03895672572252806,0.03978282944081002,0.040608933159091976,0.04143503687737393,0.04226114059565589,0.043087244313937845,0.0439133480322198,0.04473945175050176,0.045565555468783714,0.04639165918706567,0.04721776290534763,0.04804386662362958,0.04886997034191154,0.049696074060193496,0.05052217777847545,0.05134828149675741,0.052174385215039365,0.05300048893332132,0.05382659265160328,0.054652696369885234,0.05547880008816719]}"
"103","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,1,0,0,1,1,0,1,2,3,2,2,4,1,2,3,3,4,7,0,6,1,2,0,1,0,0,0,2,1,0,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1],""bins"":[0.0025478017050772905,0.003250399295211537,0.003952996885345783,0.004655594475480029,0.005358192065614276,0.006060789655748522,0.006763387245882768,0.0074659848360170145,0.00816858242615126,0.008871180016285507,0.009573777606419753,0.010276375196554,0.010978972786688246,0.011681570376822492,0.012384167966956738,0.013086765557090985,0.013789363147225231,0.014491960737359477,0.015194558327493723,0.01589715591762797,0.016599753507762216,0.017302351097896462,0.01800494868803071,0.018707546278164955,0.0194101438682992,0.020112741458433447,0.020815339048567694,0.02151793663870194,0.022220534228836186,0.022923131818970433,0.02362572940910468,0.024328326999238925,0.02503092458937317,0.025733522179507418,0.026436119769641664,0.02713871735977591,0.027841314949910156,0.028543912540044403,0.02924651013017865,0.029949107720312895,0.03065170531044714,0.03135430290058139,0.032056900490715634,0.03275949808084988,0.03346209567098413,0.03416469326111837,0.03486729085125262,0.035569888441386865,0.03627248603152111,0.03697508362165536,0.037677681211789604,0.03838027880192385,0.0390828763920581,0.03978547398219234,0.04048807157232659,0.041190669162460836,0.04189326675259508,0.04259586434272933,0.043298461932863574,0.04400105952299782,0.04470365711313207,0.04540625470326631,0.04610885229340056,0.046811449883534806,0.04751404747366905]}"
"104","{""_type"":""histogram"",""values"":[1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,2,1,3,4,1,5,3,2,6,0,5,2,6,1,4,0,1,2,0,1,0,1,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[0.0020177578553557396,0.002971950816572644,0.003926143777789548,0.004880336739006452,0.0058345297002233565,0.006788722661440261,0.007742915622657165,0.00869710858387407,0.009651301545090973,0.010605494506307878,0.011559687467524782,0.012513880428741686,0.01346807338995859,0.014422266351175494,0.015376459312392399,0.016330652273609303,0.017284845234826207,0.01823903819604311,0.019193231157260016,0.02014742411847692,0.021101617079693824,0.02205581004091073,0.023010003002127632,0.023964195963344537,0.02491838892456144,0.025872581885778345,0.02682677484699525,0.027780967808212154,0.028735160769429058,0.029689353730645962,0.030643546691862866,0.03159773965307977,0.032551932614296675,0.03350612557551358,0.03446031853673048,0.03541451149794739,0.03636870445916429,0.037322897420381196,0.0382770903815981,0.039231283342815004,0.04018547630403191,0.04113966926524881,0.04209386222646572,0.04304805518768262,0.044002248148899525,0.04495644111011643,0.045910634071333334,0.04686482703255024,0.04781901999376714,0.048773212954984047,0.04972740591620095,0.050681598877417855,0.05163579183863476,0.05258998479985166,0.05354417776106857,0.05449837072228547,0.055452563683502376,0.05640675664471928,0.057360949605936185,0.05831514256715309,0.05926933552836999,0.0602235284895869,0.0611777214508038,0.062131914412020706,0.06308610737323761]}"
